# mode	shipped
# envelope-bytes	118225
# solver-target	118225
section	id	region	bytes	shipped	shipped_detail	neutered	neutered_detail	attribution
class	resealed-manifest-descriptor-id	manifest, re-sealed	31894, with the header manifest digest recomputed	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 0, declared: 0 }	both
class	resealed-manifest-descriptor-length	manifest, re-sealed	31908, with the header manifest digest recomputed	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 0, declared: 22895, framed: 22894 }	both
class	resealed-manifest-descriptor-digest	manifest, re-sealed	31909, with the header manifest digest recomputed	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 0 }	both
class	structural-truncated-by-one	structural	the final byte of the run is removed	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: TotalLengthMismatch { declared: 118225, actual: 118224 }	both
class	structural-extended-by-one	structural	one byte is appended to the run	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: TotalLengthMismatch { declared: 118225, actual: 118226 }	both
class	structural-trailing-byte-inside-declared-length	structural	one byte is appended and the envelope's own total length follows it	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: TrailingBytes { count: 1 }	both
class	structural-two-bytes-transposed	structural	two content bytes exchange positions; no byte value changes	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 0 }	both
class	structural-substituted-equal-length-envelope	structural	the whole run becomes a different valid envelope of the same length	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	accepted	-	only-bundle-digest
class	structural-substituted-longer-envelope	structural	the whole run becomes a different valid envelope of a different length	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	accepted	-	only-bundle-digest
sweep	every-position-single-byte	whole run	118225 positions x 2 perturbations = 236450 decodes	257/257 sampled	sampled positions refused by the bundle envelope-section digest	236450/236450 refused	no perturbation of any position was accepted	both
control	restored	-	-	observed	the unperturbed entry hits and returns the exact published envelope	-	-	-
