# mode	neutered
# envelope-bytes	113303
# solver-target	113303
section	id	region	bytes	shipped	shipped_detail	neutered	neutered_detail	attribution
class	resealed-manifest-carried-identity	manifest, re-sealed	29588, with the header manifest digest recomputed	artifact-codec	artifact.integrity: ArtifactIdentityMismatch	artifact-codec	artifact.integrity: ArtifactIdentityMismatch	both
class	resealed-manifest-descriptor-id	manifest, re-sealed	29433, with the header manifest digest recomputed	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 0, declared: 0 }	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 0, declared: 0 }	both
class	resealed-manifest-descriptor-length	manifest, re-sealed	29447, with the header manifest digest recomputed	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 0, declared: 22895, framed: 22894 }	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 0, declared: 22895, framed: 22894 }	both
class	resealed-manifest-descriptor-digest	manifest, re-sealed	29448, with the header manifest digest recomputed	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 0 }	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 0 }	both
class	structural-truncated-by-one	structural	the final byte of the run is removed	artifact-codec	artifact.malformed: TotalLengthMismatch { declared: 113303, actual: 113302 }	artifact-codec	artifact.malformed: TotalLengthMismatch { declared: 113303, actual: 113302 }	both
class	structural-extended-by-one	structural	one byte is appended to the run	artifact-codec	artifact.malformed: TotalLengthMismatch { declared: 113303, actual: 113304 }	artifact-codec	artifact.malformed: TotalLengthMismatch { declared: 113303, actual: 113304 }	both
class	structural-trailing-byte-inside-declared-length	structural	one byte is appended and the envelope's own total length follows it	artifact-codec	artifact.malformed: TrailingBytes { count: 1 }	artifact-codec	artifact.malformed: TrailingBytes { count: 1 }	both
class	structural-two-bytes-transposed	structural	two content bytes exchange positions; no byte value changes	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 0 }	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 0 }	both
class	structural-substituted-equal-length-envelope	structural	the whole run becomes a different valid envelope of the same length	accepted	-	accepted	-	NEITHER
class	structural-substituted-longer-envelope	structural	the whole run becomes a different valid envelope of a different length	accepted	-	accepted	-	NEITHER
sweep	every-position-single-byte	whole run	113303 positions x 2 perturbations = 226606 decodes	0/257 sampled	sampled positions refused by the bundle envelope-section digest	226606/226606 refused	no perturbation of any position was accepted	both
control	restored	-	-	observed	the unperturbed entry hits and returns the exact published envelope	-	-	-
