tensor	profile	calibration	relative_frobenius_error
model.layers.0.mlp.gate_proj.weight	per-group128-u8	clip99.9	7.186866e-03
model.layers.0.mlp.gate_proj.weight	per-group128-u8	clip99	4.063208e-02
model.layers.0.mlp.gate_proj.weight	per-group32-u8	minmax	4.789784e-03
model.layers.0.mlp.gate_proj.weight	per-group32-u8	clip99.9	5.286224e-03
model.layers.0.mlp.gate_proj.weight	per-group32-u8	clip99	2.326671e-02
model.layers.0.mlp.up_proj.weight	per-tensor-u4	minmax	5.302574e-01
model.layers.0.mlp.up_proj.weight	per-tensor-u4	clip99.9	1.379532e-01
model.layers.0.mlp.up_proj.weight	per-tensor-u4	clip99	1.179445e-01
model.layers.0.mlp.up_proj.weight	per-channel-u4	minmax	1.333953e-01
model.layers.0.mlp.up_proj.weight	per-channel-u4	clip99.9	1.269151e-01
model.layers.0.mlp.up_proj.weight	per-channel-u4	clip99	1.141634e-01
model.layers.0.mlp.up_proj.weight	per-group128-u4	minmax	1.029473e-01
model.layers.0.mlp.up_proj.weight	per-group128-u4	clip99.9	1.020760e-01
model.layers.0.mlp.up_proj.weight	per-group128-u4	clip99	1.019826e-01
model.layers.0.mlp.up_proj.weight	per-group32-u4	minmax	8.162589e-02
model.layers.0.mlp.up_proj.weight	per-group32-u4	clip99.9	8.137923e-02
model.layers.0.mlp.up_proj.weight	per-group32-u4	clip99	8.217210e-02
model.layers.0.mlp.up_proj.weight	per-tensor-u8	minmax	3.152728e-02
model.layers.0.mlp.up_proj.weight	per-tensor-u8	clip99.9	2.484276e-02
model.layers.0.mlp.up_proj.weight	per-tensor-u8	clip99	5.716305e-02
model.layers.0.mlp.up_proj.weight	per-channel-u8	minmax	7.859377e-03
model.layers.0.mlp.up_proj.weight	per-channel-u8	clip99.9	1.340284e-02
model.layers.0.mlp.up_proj.weight	per-channel-u8	clip99	5.386668e-02
model.layers.0.mlp.up_proj.weight	per-group128-u8	minmax	6.059712e-03
model.layers.0.mlp.up_proj.weight	per-group128-u8	clip99.9	7.262105e-03
model.layers.0.mlp.up_proj.weight	per-group128-u8	clip99	4.118706e-02
model.layers.0.mlp.up_proj.weight	per-group32-u8	minmax	4.808462e-03
model.layers.0.mlp.up_proj.weight	per-group32-u8	clip99.9	5.317113e-03
model.layers.0.mlp.up_proj.weight	per-group32-u8	clip99	2.353737e-02
model.layers.0.self_attn.k_proj.weight	per-tensor-u4	minmax	5.100613e-01
model.layers.0.self_attn.k_proj.weight	per-tensor-u4	clip99.9	2.032724e-01
model.layers.0.self_attn.k_proj.weight	per-tensor-u4	clip99	1.790427e-01
model.layers.0.self_attn.k_proj.weight	per-channel-u4	minmax	1.321576e-01
model.layers.0.self_attn.k_proj.weight	per-channel-u4	clip99.9	1.256843e-01
model.layers.0.self_attn.k_proj.weight	per-channel-u4	clip99	1.127291e-01
model.layers.0.self_attn.k_proj.weight	per-group128-u4	minmax	1.022538e-01
model.layers.0.self_attn.k_proj.weight	per-group128-u4	clip99.9	1.013966e-01
model.layers.0.self_attn.k_proj.weight	per-group128-u4	clip99	1.011970e-01
model.layers.0.self_attn.k_proj.weight	per-group32-u4	minmax	8.124781e-02
model.layers.0.self_attn.k_proj.weight	per-group32-u4	clip99.9	8.101033e-02
model.layers.0.self_attn.k_proj.weight	per-group32-u4	clip99	8.175714e-02
model.layers.0.self_attn.k_proj.weight	per-tensor-u8	minmax	3.055685e-02
model.layers.0.self_attn.k_proj.weight	per-tensor-u8	clip99.9	6.005149e-02
model.layers.0.self_attn.k_proj.weight	per-tensor-u8	clip99	1.412944e-01
model.layers.0.self_attn.k_proj.weight	per-channel-u8	minmax	7.777576e-03
model.layers.0.self_attn.k_proj.weight	per-channel-u8	clip99.9	1.318729e-02
model.layers.0.self_attn.k_proj.weight	per-channel-u8	clip99	5.220302e-02
model.layers.0.self_attn.k_proj.weight	per-group128-u8	minmax	6.016438e-03
model.layers.0.self_attn.k_proj.weight	per-group128-u8	clip99.9	7.164665e-03
model.layers.0.self_attn.k_proj.weight	per-group128-u8	clip99	4.019758e-02
model.layers.0.self_attn.k_proj.weight	per-group32-u8	minmax	4.788301e-03
model.layers.0.self_attn.k_proj.weight	per-group32-u8	clip99.9	5.284370e-03
model.layers.0.self_attn.k_proj.weight	per-group32-u8	clip99	2.326488e-02
model.layers.0.self_attn.o_proj.weight	per-tensor-u4	minmax	5.022746e-01
model.layers.0.self_attn.o_proj.weight	per-tensor-u4	clip99.9	1.949918e-01
model.layers.0.self_attn.o_proj.weight	per-tensor-u4	clip99	1.669657e-01
model.layers.0.self_attn.o_proj.weight	per-channel-u4	minmax	1.659896e-01
model.layers.0.self_attn.o_proj.weight	per-channel-u4	clip99.9	1.506310e-01
model.layers.0.self_attn.o_proj.weight	per-channel-u4	clip99	1.323155e-01
model.layers.0.self_attn.o_proj.weight	per-group128-u4	minmax	1.011609e-01
model.layers.0.self_attn.o_proj.weight	per-group128-u4	clip99.9	1.003235e-01
model.layers.0.self_attn.o_proj.weight	per-group128-u4	clip99	1.002104e-01
model.layers.0.self_attn.o_proj.weight	per-group32-u4	minmax	8.104692e-02
model.layers.0.self_attn.o_proj.weight	per-group32-u4	clip99.9	8.080618e-02
model.layers.0.self_attn.o_proj.weight	per-group32-u4	clip99	8.154538e-02
model.layers.0.self_attn.o_proj.weight	per-tensor-u8	minmax	3.029082e-02
model.layers.0.self_attn.o_proj.weight	per-tensor-u8	clip99.9	4.246585e-02
model.layers.0.self_attn.o_proj.weight	per-tensor-u8	clip99	1.189527e-01
model.layers.0.self_attn.o_proj.weight	per-channel-u8	minmax	9.792548e-03
model.layers.0.self_attn.o_proj.weight	per-channel-u8	clip99.9	2.121357e-02
model.layers.0.self_attn.o_proj.weight	per-channel-u8	clip99	6.847040e-02
model.layers.0.self_attn.o_proj.weight	per-group128-u8	minmax	5.952057e-03
model.layers.0.self_attn.o_proj.weight	per-group128-u8	clip99.9	7.082774e-03
model.layers.0.self_attn.o_proj.weight	per-group128-u8	clip99	3.970988e-02
model.layers.0.self_attn.o_proj.weight	per-group32-u8	minmax	4.766356e-03
model.layers.0.self_attn.o_proj.weight	per-group32-u8	clip99.9	5.255993e-03
model.layers.0.self_attn.o_proj.weight	per-group32-u8	clip99	2.299490e-02
model.layers.0.self_attn.q_proj.weight	per-tensor-u4	minmax	7.002305e-01
model.layers.0.self_attn.q_proj.weight	per-tensor-u4	clip99.9	2.046507e-01
model.layers.0.self_attn.q_proj.weight	per-tensor-u4	clip99	1.835350e-01
model.layers.0.self_attn.q_proj.weight	per-channel-u4	minmax	1.445210e-01
model.layers.0.self_attn.q_proj.weight	per-channel-u4	clip99.9	1.357489e-01
model.layers.0.self_attn.q_proj.weight	per-channel-u4	clip99	1.232515e-01
model.layers.0.self_attn.q_proj.weight	per-group128-u4	minmax	1.050154e-01
model.layers.0.self_attn.q_proj.weight	per-group128-u4	clip99.9	1.040508e-01
model.layers.0.self_attn.q_proj.weight	per-group128-u4	clip99	1.057407e-01
model.layers.0.self_attn.q_proj.weight	per-group32-u4	minmax	8.229664e-02
model.layers.0.self_attn.q_proj.weight	per-group32-u4	clip99.9	8.203498e-02
model.layers.0.self_attn.q_proj.weight	per-group32-u4	clip99	8.304065e-02
model.layers.0.self_attn.q_proj.weight	per-tensor-u8	minmax	4.516635e-02
model.layers.0.self_attn.q_proj.weight	per-tensor-u8	clip99.9	7.284405e-02
model.layers.0.self_attn.q_proj.weight	per-tensor-u8	clip99	1.451792e-01
model.layers.0.self_attn.q_proj.weight	per-channel-u8	minmax	8.496723e-03
model.layers.0.self_attn.q_proj.weight	per-channel-u8	clip99.9	1.750325e-02
model.layers.0.self_attn.q_proj.weight	per-channel-u8	clip99	6.826809e-02
model.layers.0.self_attn.q_proj.weight	per-group128-u8	minmax	6.177057e-03
model.layers.0.self_attn.q_proj.weight	per-group128-u8	clip99.9	7.734683e-03
model.layers.0.self_attn.q_proj.weight	per-group128-u8	clip99	4.770548e-02
model.layers.0.self_attn.q_proj.weight	per-group32-u8	minmax	4.840011e-03
model.layers.0.self_attn.q_proj.weight	per-group32-u8	clip99.9	5.406598e-03
model.layers.0.self_attn.q_proj.weight	per-group32-u8	clip99	2.485069e-02
model.layers.0.self_attn.v_proj.weight	per-tensor-u4	minmax	2.324020e-01
model.layers.0.self_attn.v_proj.weight	per-tensor-u4	clip99.9	1.373606e-01
model.layers.0.self_attn.v_proj.weight	per-tensor-u4	clip99	1.167948e-01
model.layers.0.self_attn.v_proj.weight	per-channel-u4	minmax	1.324832e-01
model.layers.0.self_attn.v_proj.weight	per-channel-u4	clip99.9	1.260518e-01
model.layers.0.self_attn.v_proj.weight	per-channel-u4	clip99	1.128768e-01
model.layers.0.self_attn.v_proj.weight	per-group128-u4	minmax	1.029747e-01
model.layers.0.self_attn.v_proj.weight	per-group128-u4	clip99.9	1.020921e-01
model.layers.0.self_attn.v_proj.weight	per-group128-u4	clip99	1.020648e-01
model.layers.0.self_attn.v_proj.weight	per-group32-u4	minmax	8.187421e-02
model.layers.0.self_attn.v_proj.weight	per-group32-u4	clip99.9	8.162784e-02
model.layers.0.self_attn.v_proj.weight	per-group32-u4	clip99	8.241401e-02
model.layers.0.self_attn.v_proj.weight	per-tensor-u8	minmax	1.366179e-02
model.layers.0.self_attn.v_proj.weight	per-tensor-u8	clip99.9	1.724913e-02
model.layers.0.self_attn.v_proj.weight	per-tensor-u8	clip99	5.166818e-02
model.layers.0.self_attn.v_proj.weight	per-channel-u8	minmax	7.797282e-03
model.layers.0.self_attn.v_proj.weight	per-channel-u8	clip99.9	1.298092e-02
model.layers.0.self_attn.v_proj.weight	per-channel-u8	clip99	5.120599e-02
model.layers.0.self_attn.v_proj.weight	per-group128-u8	minmax	6.058498e-03
model.layers.0.self_attn.v_proj.weight	per-group128-u8	clip99.9	7.261560e-03
model.layers.0.self_attn.v_proj.weight	per-group128-u8	clip99	4.129392e-02
model.layers.0.self_attn.v_proj.weight	per-group32-u8	minmax	4.816696e-03
model.layers.0.self_attn.v_proj.weight	per-group32-u8	clip99.9	5.333140e-03
model.layers.0.self_attn.v_proj.weight	per-group32-u8	clip99	2.372819e-02
