layer	tensor	position	rank	head	lane	value_hex	value
0	v_heads	6	0	1	56	0x3fb182da	1.386805772781372
0	v_heads	6	1	1	98	0x3f90d206	1.1314094066619873
0	v_heads	6	2	6	30	0xbf906333	-1.128027319908142
0	v_heads	6	3	3	16	0xbf50975a	-0.8148094415664673
0	v_heads	7	0	2	126	0x3f40c86e	0.7530583143234253
0	v_heads	7	1	3	42	0xbf1dd8d1	-0.6165896058082581
0	v_heads	7	2	6	46	0x3f1ceb53	0.6129657626152039
0	v_heads	7	3	2	91	0xbf1a0d37	-0.6017641425132751
0	v_heads	8	0	6	93	0xbf1615cf	-0.586270272731781
0	v_heads	8	1	6	31	0x3f0c32d2	0.5476504564285278
0	v_heads	8	2	0	94	0xbf04c297	-0.5185942053794861
0	v_heads	8	3	0	65	0xbf0285ee	-0.509856104850769
0	v_heads	9	0	5	4	0xbf94559c	-1.158862590789795
0	v_heads	9	1	1	123	0xbf78f657	-0.9725088477134705
0	v_heads	9	2	6	79	0xbf75f200	-0.960723876953125
0	v_heads	9	3	1	92	0x3f70f24b	0.9411970973014832
0	v_heads	10	0	6	30	0xbf70802c	-0.9394557476043701
0	v_heads	10	1	1	56	0x3f628744	0.8848764896392822
0	v_heads	10	2	3	16	0xbf4efaaf	-0.8085126280784607
0	v_heads	10	3	4	1	0xbf4b601e	-0.7944353818893433
0	v_heads	11	0	2	126	0x3f21beb2	0.631816029548645
0	v_heads	11	1	7	109	0x3f1cb166	0.6120818853378296
0	v_heads	11	2	6	93	0xbf0c339a	-0.5476623773574829
0	v_heads	11	3	0	23	0x3f0435b0	0.516444206237793
0	v_heads	12	0	6	93	0xbf3d0316	-0.7383283376693726
0	v_heads	12	1	2	126	0x3f3cd25c	0.7375848293304443
0	v_heads	12	2	0	97	0x3f12d9ab	0.5736338496208191
0	v_heads	12	3	4	40	0x3f0fdf4a	0.5620008707046509
0	v_heads	13	0	6	93	0xbf2bc5fa	-0.6709896326065063
0	v_heads	13	1	0	76	0x3f1579f6	0.5838922262191772
0	v_heads	13	2	1	73	0xbf13dcf0	-0.5775899887084961
0	v_heads	13	3	6	54	0xbf117fe5	-0.5683577656745911
0	v_heads	14	0	1	105	0xbf1c8752	-0.6114398241043091
0	v_heads	14	1	3	42	0xbf153ac6	-0.5829280614852905
0	v_heads	14	2	6	93	0xbf0856cd	-0.532574474811554
0	v_heads	14	3	0	42	0x3f03e1f7	0.515166699886322
0	v_heads	15	0	1	98	0x3f22c3a2	0.6357976198196411
0	v_heads	15	1	2	63	0x3f113af6	0.5673059225082397
0	v_heads	15	2	2	49	0x3f04a59a	0.5181518793106079
0	v_heads	15	3	6	93	0xbf01d3ef	-0.5071401000022888
0	v_heads	16	0	1	56	0x3fb182e0	1.3868064880371094
0	v_heads	16	1	1	98	0x3f90d1ff	1.1314085721969604
0	v_heads	16	2	6	30	0xbf90632b	-1.1280263662338257
0	v_heads	16	3	3	16	0xbf50975c	-0.8148095607757568
0	v_heads	17	0	2	126	0x3f40c86d	0.7530582547187805
0	v_heads	17	1	3	42	0xbf1dd8ca	-0.6165891885757446
0	v_heads	17	2	6	46	0x3f1ceb50	0.6129655838012695
0	v_heads	17	3	2	91	0xbf1a0d33	-0.601763904094696
1	k_rope	0	0	7	52	0x43330d0b	179.0509490966797
1	k_rope	0	1	1	52	0xc31fe1ac	-159.88153076171875
1	k_rope	0	2	2	52	0x430f7be9	143.48402404785156
1	k_rope	0	3	3	52	0xc30a4a59	-138.29042053222656
1	k_rope	1	0	1	52	0xc3133da0	-147.24072265625
1	k_rope	1	1	2	52	0x430da761	141.65382385253906
1	k_rope	1	2	3	52	0xc30d96c9	-141.58900451660156
1	k_rope	1	3	7	52	0x430b68d7	139.40953063964844
1	k_rope	2	0	7	52	0x431e1ac3	158.1045379638672
1	k_rope	2	1	1	52	0xc315cfa5	-149.8111114501953
1	k_rope	2	2	2	52	0x430fe99e	143.91256713867188
1	k_rope	2	3	3	52	0xc30ea469	-142.64222717285156
1	k_rope	3	0	7	52	0x43293cce	169.23751831054688
1	k_rope	3	1	3	52	0xc3223b9b	-162.2328338623047
1	k_rope	3	2	2	52	0x43183a46	152.22763061523438
1	k_rope	3	3	1	52	0xc3169af8	-150.6053466796875
1	k_rope	4	0	7	52	0x432e47f0	174.281005859375
1	k_rope	4	1	1	52	0xc31f50f2	-159.31619262695312
1	k_rope	4	2	2	52	0x431ac5ec	154.77313232421875
1	k_rope	4	3	3	52	0xc30db9dc	-141.72601318359375
1	k_rope	5	0	7	52	0x432266eb	162.4020233154297
1	k_rope	5	1	1	52	0xc321ec78	-161.9237060546875
1	k_rope	5	2	2	52	0x43149009	148.56263732910156
1	k_rope	5	3	3	52	0xc30bab1b	-139.6683807373047
1	k_rope	6	0	7	52	0x4332af62	178.68508911132812
1	k_rope	6	1	1	52	0xc31dfc2b	-157.9850311279297
1	k_rope	6	2	2	52	0x43073109	135.19154357910156
1	k_rope	6	3	3	52	0xc2fd867a	-126.76264953613281
1	k_rope	7	0	1	52	0xc319ef37	-153.93443298339844
1	k_rope	7	1	3	52	0xc318ae72	-152.68142700195312
1	k_rope	7	2	7	52	0x4316c15c	150.75531005859375
1	k_rope	7	3	2	52	0x43115e8b	145.3693084716797
1	k_rope	8	0	7	52	0x43203318	160.1995849609375
1	k_rope	8	1	1	52	0xc311da0c	-145.85174560546875
1	k_rope	8	2	3	52	0xc31151d5	-145.3196563720703
1	k_rope	8	3	2	52	0x430ef5f9	142.96083068847656
1	k_rope	9	0	7	52	0x43324e7c	178.30657958984375
1	k_rope	9	1	1	52	0xc321e15d	-161.8803253173828
1	k_rope	9	2	2	52	0x43103685	144.2129669189453
1	k_rope	9	3	3	52	0xc307d345	-135.8252716064453
1	k_rope	10	0	7	52	0x43234b28	163.2935791015625
1	k_rope	10	1	1	52	0xc317ba5c	-151.72796630859375
1	k_rope	10	2	2	52	0x4317736e	151.45089721679688
1	k_rope	10	3	3	52	0xc304e19d	-132.8813018798828
1	k_rope	11	0	1	52	0xc3120780	-146.029296875
1	k_rope	11	1	3	52	0xc30f264c	-143.14959716796875
1	k_rope	11	2	7	52	0x430da534	141.64532470703125
1	k_rope	11	3	2	52	0x430c3640	140.2119140625
1	k_rope	12	0	7	52	0x43217fb8	161.4989013671875
1	k_rope	12	1	1	52	0xc313afc3	-147.6865692138672
1	k_rope	12	2	2	52	0x43125185	146.3184356689453
1	k_rope	12	3	3	52	0xc311ea73	-145.9158172607422
1	k_rope	13	0	7	52	0x432be3b0	171.889404296875
1	k_rope	13	1	3	52	0xc322e3b0	-162.889404296875
1	k_rope	13	2	2	52	0x4316449b	150.2679901123047
1	k_rope	13	3	1	52	0xc314b018	-148.6878662109375
1	k_rope	14	0	7	52	0x432dde5c	173.86859130859375
1	k_rope	14	1	1	52	0xc31e2eb9	-158.18251037597656
1	k_rope	14	2	2	52	0x431b3b09	155.23060607910156
1	k_rope	14	3	3	52	0xc30ec1d2	-142.75711059570312
1	k_rope	15	0	1	52	0xc3203161	-160.19288635253906
1	k_rope	15	1	7	52	0x431e8e3f	158.55564880371094
1	k_rope	15	2	2	52	0x43148c8b	148.5489959716797
1	k_rope	15	3	3	52	0xc30c0c25	-140.0474395751953
1	k_rope	16	0	7	52	0x432e87ae	174.52999877929688
1	k_rope	16	1	1	52	0xc31b3c3d	-155.2353057861328
1	k_rope	16	2	2	52	0x430b33b3	139.2019500732422
1	k_rope	16	3	3	52	0xc3007fe5	-128.4995880126953
1	k_rope	17	0	1	52	0xc31912de	-153.07369995117188
1	k_rope	17	1	3	52	0xc3180f93	-152.0608367919922
1	k_rope	17	2	7	52	0x4317e813	151.9065399169922
1	k_rope	17	3	2	52	0x43118d11	145.55104064941406
1	v_heads	0	0	1	43	0x3f1e38db	0.6180550456047058
1	v_heads	0	1	5	43	0xbf153eaa	-0.5829874277114868
1	v_heads	0	2	5	30	0xbf0f04df	-0.5586680769920349
1	v_heads	0	3	7	66	0xbf05845c	-0.5215508937835693
1	v_heads	1	0	2	95	0x3ed6052b	0.4180081784725189
1	v_heads	1	1	7	54	0xbec69c9c	-0.3879135847091675
1	v_heads	1	2	2	51	0xbec06589	-0.37577465176582336
1	v_heads	1	3	2	106	0xbeb2e9ad	-0.3494390547275543
1	v_heads	2	0	7	54	0xbef5cfbd	-0.4801005423069
1	v_heads	2	1	3	21	0xbee9276c	-0.4553788900375366
1	v_heads	2	2	4	11	0xbedca8e7	-0.43097612261772156
1	v_heads	2	3	7	111	0xbece611a	-0.40308457612991333
1	v_heads	3	0	4	11	0xbf05b24f	-0.5222520232200623
1	v_heads	3	1	7	111	0xbf01acd2	-0.5065432786941528
1	v_heads	3	2	7	54	0xbf00ec2c	-0.5036036968231201
1	v_heads	3	3	7	126	0xbeef8a4a	-0.4678519368171692
1	v_heads	4	0	4	118	0x3f0ed4d2	0.5579348802566528
1	v_heads	4	1	7	126	0xbefa169f	-0.48845383524894714
1	v_heads	4	2	2	123	0x3ee752d9	0.45180395245552063
1	v_heads	4	3	4	11	0xbecd63c6	-0.4011518359184265
1	v_heads	5	0	2	123	0x3ecfc7d6	0.4058215022087097
1	v_heads	5	1	3	93	0xbec6b313	-0.3880849778652191
1	v_heads	5	2	7	126	0xbec520b5	-0.3850151598453522
1	v_heads	5	3	4	88	0xbeb6f1a8	-0.3573124408721924
1	v_heads	6	0	1	76	0xbee71060	-0.4512968063354492
1	v_heads	6	1	1	18	0xbed91b22	-0.42403513193130493
1	v_heads	6	2	1	3	0xbecf5478	-0.4049413204193115
1	v_heads	6	3	0	113	0xbebf8a6e	-0.37410300970077515
1	v_heads	7	0	4	11	0xbf10f837	-0.5662874579429626
1	v_heads	7	1	7	54	0xbedddf8b	-0.43334612250328064
1	v_heads	7	2	4	118	0x3ecc1707	0.39861318469047546
1	v_heads	7	3	2	96	0x3eb14323	0.3462153375148773
1	v_heads	8	0	0	73	0xbf323649	-0.6961408257484436
1	v_heads	8	1	7	54	0xbee5a450	-0.448519229888916
1	v_heads	8	2	4	49	0x3ee1c371	0.44094422459602356
1	v_heads	8	3	1	43	0xbeda18d7	-0.42597076296806335
1	v_heads	9	0	4	72	0xbef8e424	-0.48611557483673096
1	v_heads	9	1	7	66	0xbed5fccb	-0.4179442822933197
1	v_heads	9	2	3	52	0xbed16868	-0.4089996814727783
1	v_heads	9	3	5	43	0xbebaa798	-0.3645598888397217
1	v_heads	10	0	5	43	0xbf051462	-0.519842267036438
1	v_heads	10	1	1	97	0x3eddd454	0.43326056003570557
1	v_heads	10	2	1	76	0xbec1ab8e	-0.3782619833946228
1	v_heads	10	3	1	18	0xbea6af8a	-0.32555800676345825
1	v_heads	11	0	7	54	0xbecdd433	-0.4020095765590668
1	v_heads	11	1	2	95	0x3ec49c42	0.3840046525001526
1	v_heads	11	2	2	106	0xbeaee299	-0.3415725529193878
1	v_heads	11	3	4	11	0xbeaec79c	-0.34136664867401123
1	v_heads	12	0	7	54	0xbef142e3	-0.4712134301662445
1	v_heads	12	1	3	21	0xbee86b66	-0.4539443850517273
1	v_heads	12	2	4	11	0xbedd2054	-0.43188726902008057
1	v_heads	12	3	4	118	0x3ed4e756	0.4158274531364441
1	v_heads	13	0	7	54	0xbf030083	-0.5117265582084656
1	v_heads	13	1	4	11	0xbefdab15	-0.4954458773136139
1	v_heads	13	2	0	73	0xbef62fb2	-0.48083263635635376
1	v_heads	13	3	7	111	0xbee4fd7b	-0.44724640250205994
1	v_heads	14	0	4	118	0x3f0deae2	0.5543652772903442
1	v_heads	14	1	7	126	0xbed39e75	-0.41331830620765686
1	v_heads	14	2	5	69	0xbecdd7ea	-0.40203791856765747
1	v_heads	14	3	4	11	0xbeccc004	-0.39990246295928955
1	v_heads	15	0	2	123	0x3ec9699d	0.3933838903903961
1	v_heads	15	1	3	93	0xbec5fe90	-0.38670778274536133
1	v_heads	15	2	4	88	0xbeb6671e	-0.3562554717063904
1	v_heads	15	3	7	84	0x3eb5792c	0.3544400930404663
1	v_heads	16	0	1	76	0xbef08c66	-0.46982115507125854
1	v_heads	16	1	1	18	0xbee02ac4	-0.4378262758255005
1	v_heads	16	2	1	3	0xbed8e560	-0.42362499237060547
1	v_heads	16	3	0	113	0xbec513ac	-0.38491570949554443
1	v_heads	17	0	4	11	0xbf121fa0	-0.5707950592041016
1	v_heads	17	1	7	54	0xbede09f4	-0.43366968631744385
1	v_heads	17	2	4	118	0x3ecb807e	0.39746469259262085
1	v_heads	17	3	4	72	0x3eb10344	0.3457280397415161
2	k_rope	0	0	0	116	0x431dada1	157.67823791503906
2	k_rope	0	1	7	116	0x42c7ebf8	99.96087646484375
2	k_rope	0	2	4	116	0x42a35fc4	81.68704223632812
2	k_rope	0	3	1	116	0xc28e0ca6	-71.02470397949219
2	k_rope	1	0	0	116	0x43165468	150.3297119140625
2	k_rope	1	1	2	116	0xc305d601	-133.83595275878906
2	k_rope	1	2	4	116	0x42e7da9a	115.92695617675781
2	k_rope	1	3	7	116	0x42af5711	87.67005157470703
2	k_rope	2	0	2	116	0xc309d53f	-137.83299255371094
2	k_rope	2	1	0	116	0x42f51f61	122.56128692626953
2	k_rope	2	2	4	116	0x42f1be7b	120.87203216552734
2	k_rope	2	3	3	116	0xc29eef43	-79.4673080444336
2	k_rope	3	0	2	116	0xc31eb3fc	-158.70306396484375
2	k_rope	3	1	0	116	0x430fdcfd	143.8632354736328
2	k_rope	3	2	4	116	0x42f7600e	123.68760681152344
2	k_rope	3	3	6	116	0x42b92349	92.56891632080078
2	k_rope	4	0	0	116	0x432e2ce7	174.17539978027344
2	k_rope	4	1	2	116	0xc3114f8d	-145.3107452392578
2	k_rope	4	2	4	116	0x42c7b8b4	99.86074829101562
2	k_rope	4	3	6	116	0x42c65574	99.16690063476562
2	k_rope	5	0	0	116	0x4336cfaf	182.81126403808594
2	k_rope	5	1	2	116	0xc316b16e	-150.69308471679688
2	k_rope	5	2	4	116	0x42fbd5ce	125.91758728027344
2	k_rope	5	3	7	116	0x42e03f52	112.12367248535156
2	k_rope	6	0	0	116	0x432bc14f	171.75511169433594
2	k_rope	6	1	3	116	0xc2d01ce8	-104.05645751953125
2	k_rope	6	2	4	116	0x42a8bb99	84.36640167236328
2	k_rope	6	3	7	116	0x42960125	75.00223541259766
2	k_rope	7	0	0	116	0x4312037a	146.01358032226562
2	k_rope	7	1	2	116	0xc30c8c03	-140.5469207763672
2	k_rope	7	2	4	116	0x430c19b0	140.100341796875
2	k_rope	7	3	3	116	0xc2bda2e3	-94.8181381225586
2	k_rope	8	0	2	116	0xc313a559	-147.64588928222656
2	k_rope	8	1	0	116	0x430b4515	139.2698516845703
2	k_rope	8	2	4	116	0x430468dc	132.40960693359375
2	k_rope	8	3	6	116	0x42b420f7	90.06438446044922
2	k_rope	9	0	0	116	0x43220ab0	162.041748046875
2	k_rope	9	1	4	116	0x42a9a741	84.82666778564453
2	k_rope	9	2	3	116	0xc29c7f81	-78.24903106689453
2	k_rope	9	3	7	116	0x428f9798	71.79608154296875
2	k_rope	10	0	0	116	0x431b0a20	155.03955078125
2	k_rope	10	1	3	116	0xc301fbb3	-129.9832000732422
2	k_rope	10	2	7	116	0x42e738b5	115.61075592041016
2	k_rope	10	3	4	116	0x42c1b404	96.85159301757812
2	k_rope	11	0	0	116	0x431d8eb1	157.55738830566406
2	k_rope	11	1	2	116	0xc318e3ac	-152.88934326171875
2	k_rope	11	2	4	116	0x42fb2d87	125.58892059326172
2	k_rope	11	3	3	116	0xc2f1fdef	-120.99596405029297
2	k_rope	12	0	2	116	0xc320dc52	-160.86062622070312
2	k_rope	12	1	4	116	0x4309f31c	137.94964599609375
2	k_rope	12	2	0	116	0x43032763	131.1538543701172
2	k_rope	12	3	3	116	0xc2cfde21	-103.93384552001953
2	k_rope	13	0	2	116	0xc3381431	-184.07887268066406
2	k_rope	13	1	0	116	0x4316ab70	150.669677734375
2	k_rope	13	2	4	116	0x430f8b40	143.5439453125
2	k_rope	13	3	6	116	0x42da4d5a	109.15107727050781
2	k_rope	14	0	0	116	0x433cbb90	188.732666015625
2	k_rope	14	1	2	116	0xc3206f50	-160.434814453125
2	k_rope	14	2	3	116	0xc306ca46	-134.79013061523438
2	k_rope	14	3	4	116	0x42e67de9	115.24591827392578
2	k_rope	15	0	0	116	0x433c646a	188.39224243164062
2	k_rope	15	1	2	116	0xc325cad9	-165.79237365722656
2	k_rope	15	2	4	116	0x43097ba0	137.48291015625
2	k_rope	15	3	7	116	0x4300aa8d	128.6662139892578
2	k_rope	16	0	0	116	0x432eb267	174.69688415527344
2	k_rope	16	1	3	116	0xc2f56925	-122.70536041259766
2	k_rope	16	2	4	116	0x42bd5c54	94.68032836914062
2	k_rope	16	3	7	116	0x42a023a8	80.06964111328125
2	k_rope	17	0	2	116	0xc31c187f	-156.09568786621094
2	k_rope	17	1	4	116	0x431ad2ed	154.8239288330078
2	k_rope	17	2	0	116	0x43174787	151.27940368652344
2	k_rope	17	3	3	116	0xc2e75779	-115.67084503173828
2	v_heads	0	0	3	94	0xc03442de	-2.8165812492370605
2	v_heads	0	1	3	51	0x40274f27	2.614206075668335
2	v_heads	0	2	3	82	0xc0124cef	-2.2859456539154053
2	v_heads	0	3	3	58	0x40050aa0	2.0787734985351562
2	v_heads	1	0	2	83	0xbf4666c2	-0.7750054597854614
2	v_heads	1	1	5	75	0x3f076ad2	0.5289736986160278
2	v_heads	1	2	1	104	0xbee898b6	-0.45429009199142456
2	v_heads	1	3	2	66	0xbee510a2	-0.4473925232887268
2	v_heads	2	0	1	113	0xbf0fe269	-0.5620484948158264
2	v_heads	2	1	6	112	0x3f08933b	0.5334965586662292
2	v_heads	2	2	1	104	0xbeff1e33	-0.4982772767543793
2	v_heads	2	3	7	54	0x3efa8a6d	0.48933735489845276
2	v_heads	3	0	1	113	0xbf1ae91f	-0.6051196455955505
2	v_heads	3	1	5	75	0x3f122d62	0.5710049867630005
2	v_heads	3	2	7	107	0xbf03d01d	-0.5148943066596985
2	v_heads	3	3	2	83	0xbf02ecac	-0.5114238262176514
2	v_heads	4	0	7	50	0xbee65ffc	-0.44995105266571045
2	v_heads	4	1	2	123	0xbee545b3	-0.44779738783836365
2	v_heads	4	2	7	41	0xbee2b0dc	-0.4427555799484253
2	v_heads	4	3	6	69	0x3ee147f9	0.4400022327899933
2	v_heads	5	0	2	112	0x3f076898	0.5289397239685059
2	v_heads	5	1	7	42	0xbef8371a	-0.48479539155960083
2	v_heads	5	2	0	51	0x3ef5f667	0.48039552569389343
2	v_heads	5	3	4	67	0x3ef16561	0.47147658467292786
2	v_heads	6	0	4	112	0xbee7d2d9	-0.45278051495552063
2	v_heads	6	1	0	41	0x3eb548c1	0.3540706932544708
2	v_heads	6	2	2	43	0x3eb0bffb	0.34521469473838806
2	v_heads	6	3	7	76	0xbeb02cd7	-0.34409210085868835
2	v_heads	7	0	4	91	0x3f2035b8	0.6258196830749512
2	v_heads	7	1	7	79	0xbf148b10	-0.5802469253540039
2	v_heads	7	2	1	104	0xbf0474cf	-0.5174073576927185
2	v_heads	7	3	7	25	0x3eeca527	0.46219751238822937
2	v_heads	8	0	1	113	0xbf0a9a0e	-0.5414131879806519
2	v_heads	8	1	2	66	0x3ef902c0	0.48634910583496094
2	v_heads	8	2	7	87	0xbef71c6a	-0.4826386570930481
2	v_heads	8	3	5	30	0x3ef63f38	0.48095107078552246
2	v_heads	9	0	7	52	0x3f0b3877	0.5438303351402283
2	v_heads	9	1	4	112	0xbf00e43f	-0.5034827589988708
2	v_heads	9	2	2	43	0x3ef132aa	0.4710896611213684
2	v_heads	9	3	7	17	0xbece60ec	-0.4030832052230835
2	v_heads	10	0	6	17	0xbecac091	-0.3960004150867462
2	v_heads	10	1	6	44	0x3eb805e5	0.35941997170448303
2	v_heads	10	2	4	112	0xbe95133e	-0.2911624312400818
2	v_heads	10	3	6	26	0x3e8e802e	0.27832168340682983
2	v_heads	11	0	2	83	0xbf3be896	-0.7340177297592163
2	v_heads	11	1	1	70	0xbefae573	-0.49003180861473083
2	v_heads	11	2	1	104	0xbef2b2ab	-0.4740193784236908
2	v_heads	11	3	6	35	0xbee35986	-0.4440423846244812
2	v_heads	12	0	1	113	0xbf3bde76	-0.7338632345199585
2	v_heads	12	1	5	30	0x3f0b5e37	0.5444063544273376
2	v_heads	12	2	7	38	0x3f07c157	0.530293881893158
2	v_heads	12	3	6	112	0x3f048f17	0.5178083777427673
2	v_heads	13	0	1	113	0xbf40e6ac	-0.7535197734832764
2	v_heads	13	1	1	70	0xbf1cc666	-0.6124023199081421
2	v_heads	13	2	7	41	0xbf119c82	-0.5687943696975708
2	v_heads	13	3	5	30	0x3f0c7ce1	0.5487805008888245
2	v_heads	14	0	2	32	0x3f02c8ab	0.5108744502067566
2	v_heads	14	1	7	50	0xbef24f1c	-0.4732598066329956
2	v_heads	14	2	3	66	0xbeef8d7c	-0.4678763151168823
2	v_heads	14	3	2	43	0xbeebe179	-0.46070459485054016
2	v_heads	15	0	6	33	0x3f04cf70	0.5187902450561523
2	v_heads	15	1	2	112	0x3f01678c	0.505486249923706
2	v_heads	15	2	4	67	0x3ef5c868	0.4800446033477783
2	v_heads	15	3	2	114	0x3ee878c1	0.4540462791919708
2	v_heads	16	0	4	112	0xbee47bab	-0.44625601172447205
2	v_heads	16	1	6	33	0x3ee3ab41	0.44466593861579895
2	v_heads	16	2	0	35	0x3ec25aea	0.3795998692512512
2	v_heads	16	3	0	41	0x3ebd88eb	0.3701852262020111
2	v_heads	17	0	1	70	0xbf21937a	-0.6311565637588501
2	v_heads	17	1	4	91	0x3f1ceff5	0.6130364537239075
