schema	tiler.apple-numerical-behaviour/v4
environment.family.ios-simulator.sdk_build	23F81a
environment.family.ios-simulator.requested_target	air64-apple-ios16.0-simulator
environment.family.ios-simulator.metal_version	Apple metal version 32023.883 (metalfe-32023.883)
environment.family.ios-simulator.metallib_version	AIR-LLD 32023.883 (metalfe-32023.883) (compatible with legacy metallib linker)
environment.family.ios-simulator.execution	ios-simulator-runtime
environment.family.ios-simulator.emitted_triple	air64_v26-apple-ios17.0.0-simulator
environment.family.ios-simulator.device	Apple iOS simulator GPU
environment.family.ios-simulator.device_registry_id	4294968621
environment.family.ios-simulator.runtime_compiler	unavailable:dispatch of the archive-support probe failed with 134: +[MTLLoader sliceIDForDevice:legacyDriverVersion:airntDriverVersion:]:692: failed assertion `Target device architecture is nil' Child process terminated with signal 6: Abort trap
environment.family.ios-simulator.runtime_compiler_images	/Library/Developer/CoreSimulator/Volumes/iOS_23A8464/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.0.simruntime/Contents/Resources/RuntimeRoot/System/Library/PrivateFrameworks/GPUCompiler.framework/Libraries/libGPUCompilerUtils.dylib
environment.family.ios-simulator.runtime_compiler_build	metalfe-32023.830.1
environment.family.ios-simulator.simulator_runtime	iOS 26.0 26.0.1 build 23A8464
environment.family.ios-simulator.simulator_device	iPad (A16)
environment.family.ios-simulator.simulator_device_udid	98099F5C-B40B-4F82-A924-593334EA261B
environment.family.ios-simulator.simulator_booted_by_probe	false
hazard.cross_family_load.ios-device_module_on_macos_gpu	loaded and ran; results 00000000 00000000 00000000 01000000 80000000 80000000 3f397ef9 40000000
case.ios-device.add_smallest_normal.fast.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.add_smallest_normal.fast.O0.contract-off.float_operations	fadd+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.add_smallest_normal.fast.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.add_smallest_normal.fast.O2.contract-off.float_operations	fadd+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.add_smallest_normal.relaxed.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.add_smallest_normal.relaxed.O0.contract-off.float_operations	fadd+reassoc+nsz+arcp+afn
case.ios-device.add_smallest_normal.relaxed.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.add_smallest_normal.relaxed.O2.contract-off.float_operations	fadd+reassoc+nsz+arcp+afn
case.ios-device.add_smallest_normal.safe.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.add_smallest_normal.safe.O0.contract-off.float_operations	fadd
case.ios-device.add_smallest_normal.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.add_smallest_normal.safe.O2.contract-off.float_operations	fadd
case.ios-device.contraction_pair.safe.O2.contract-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.contraction_pair.safe.O2.contract-fast.float_operations	fmul+contract fadd+contract
case.ios-device.contraction_pair.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.contraction_pair.safe.O2.contract-off.float_operations	fmul fadd
case.ios-device.contraction_pair.safe.O2.contract-on.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.contraction_pair.safe.O2.contract-on.float_operations	fmul fadd
case.ios-device.contraction_pair_canonicalized.safe.O2.contract-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.contraction_pair_canonicalized.safe.O2.contract-fast.float_operations	fmul+contract fadd+contract
case.ios-device.contraction_pair_canonicalized.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.contraction_pair_canonicalized.safe.O2.contract-off.float_operations	fmul fadd
case.ios-device.contraction_pair_canonicalized.safe.O2.contract-on.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.contraction_pair_canonicalized.safe.O2.contract-on.float_operations	fmul fadd
case.ios-device.divide_by_half.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.divide_by_half.safe.O2.contract-off.float_operations	fmul
case.ios-device.divide_by_three.fast.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.divide_by_three.fast.O2.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.divide_by_three.relaxed.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.divide_by_three.relaxed.O2.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.divide_by_three.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.divide_by_three.safe.O2.contract-off.float_operations	fdiv
case.ios-device.divide_by_three_eighths.fast.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.divide_by_three_eighths.fast.O2.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.divide_by_three_eighths.relaxed.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.divide_by_three_eighths.relaxed.O2.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.divide_by_three_eighths.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.divide_by_three_eighths.safe.O2.contract-off.float_operations	fdiv
case.ios-device.divide_by_two.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.divide_by_two.safe.O2.contract-off.float_operations	fmul
case.ios-device.fused_pair.safe.O2.contract-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.fused_pair.safe.O2.contract-fast.float_operations	air.fma.f32+contract
case.ios-device.fused_pair.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.fused_pair.safe.O2.contract-off.float_operations	air.fma.f32
case.ios-device.fused_pair.safe.O2.contract-on.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.fused_pair.safe.O2.contract-on.float_operations	air.fma.f32
case.ios-device.materialize.fast.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.materialize.fast.O2.contract-off.float_operations	
case.ios-device.materialize.relaxed.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.materialize.relaxed.O2.contract-off.float_operations	
case.ios-device.materialize.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.materialize.safe.O2.contract-off.float_operations	
case.ios-device.multiply_half.fast.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.fast.O0.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_half.fast.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.fast.O1.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_half.fast.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.fast.O2.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_half.fast.O2.contract-off.fpfun-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.fast.O2.contract-off.fpfun-fast.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_half.fast.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.fast.O3.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_half.fast.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.fast.Os.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_half.relaxed.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.relaxed.O0.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_half.relaxed.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.relaxed.O1.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_half.relaxed.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.relaxed.O2.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_half.relaxed.O2.contract-off.fpfun-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.relaxed.O2.contract-off.fpfun-fast.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_half.relaxed.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.relaxed.O3.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_half.relaxed.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.relaxed.Os.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_half.safe.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.safe.O0.contract-off.float_operations	fmul
case.ios-device.multiply_half.safe.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.safe.O1.contract-off.float_operations	fmul
case.ios-device.multiply_half.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.safe.O2.contract-off.float_operations	fmul
case.ios-device.multiply_half.safe.O2.contract-off.fpfun-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.safe.O2.contract-off.fpfun-fast.float_operations	fmul
case.ios-device.multiply_half.safe.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.safe.O3.contract-off.float_operations	fmul
case.ios-device.multiply_half.safe.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_half.safe.Os.contract-off.float_operations	fmul
case.ios-device.multiply_one.fast.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.fast.O0.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_one.fast.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.fast.O1.contract-off.float_operations	
case.ios-device.multiply_one.fast.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.fast.O2.contract-off.float_operations	
case.ios-device.multiply_one.fast.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.fast.O3.contract-off.float_operations	
case.ios-device.multiply_one.fast.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.fast.Os.contract-off.float_operations	
case.ios-device.multiply_one.relaxed.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.relaxed.O0.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_one.relaxed.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.relaxed.O1.contract-off.float_operations	
case.ios-device.multiply_one.relaxed.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.relaxed.O2.contract-off.float_operations	
case.ios-device.multiply_one.relaxed.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.relaxed.O3.contract-off.float_operations	
case.ios-device.multiply_one.relaxed.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.relaxed.Os.contract-off.float_operations	
case.ios-device.multiply_one.safe.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.safe.O0.contract-off.float_operations	fmul
case.ios-device.multiply_one.safe.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.safe.O1.contract-off.float_operations	
case.ios-device.multiply_one.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.safe.O2.contract-off.float_operations	
case.ios-device.multiply_one.safe.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.safe.O3.contract-off.float_operations	
case.ios-device.multiply_one.safe.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_one.safe.Os.contract-off.float_operations	
case.ios-device.multiply_two.fast.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.fast.O0.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_two.fast.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.fast.O1.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_two.fast.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.fast.O2.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_two.fast.O2.contract-off.fpfun-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.fast.O2.contract-off.fpfun-fast.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_two.fast.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.fast.O3.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_two.fast.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.fast.Os.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.multiply_two.relaxed.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.relaxed.O0.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_two.relaxed.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.relaxed.O1.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_two.relaxed.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.relaxed.O2.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_two.relaxed.O2.contract-off.fpfun-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.relaxed.O2.contract-off.fpfun-fast.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_two.relaxed.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.relaxed.O3.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_two.relaxed.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.relaxed.Os.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn
case.ios-device.multiply_two.safe.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.safe.O0.contract-off.float_operations	fmul
case.ios-device.multiply_two.safe.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.safe.O1.contract-off.float_operations	fmul
case.ios-device.multiply_two.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.safe.O2.contract-off.float_operations	fmul
case.ios-device.multiply_two.safe.O2.contract-off.fpfun-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.safe.O2.contract-off.fpfun-fast.float_operations	fmul
case.ios-device.multiply_two.safe.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.safe.O3.contract-off.float_operations	fmul
case.ios-device.multiply_two.safe.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.multiply_two.safe.Os.contract-off.float_operations	fmul
case.ios-device.reassociation_chain.fast.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.reassociation_chain.fast.O2.contract-off.float_operations	fadd+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.reassociation_chain.relaxed.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.reassociation_chain.relaxed.O2.contract-off.float_operations	fadd+reassoc+nsz+arcp+afn
case.ios-device.reassociation_chain.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.reassociation_chain.safe.O2.contract-off.float_operations	fadd fadd
case.ios-device.scale_one_bias_zero.fast.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.fast.O0.contract-off.float_operations	fmul+reassoc+nnan+ninf+nsz+arcp+afn fadd+reassoc+nnan+ninf+nsz+arcp+afn
case.ios-device.scale_one_bias_zero.fast.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.fast.O1.contract-off.float_operations	
case.ios-device.scale_one_bias_zero.fast.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.fast.O2.contract-off.float_operations	
case.ios-device.scale_one_bias_zero.fast.O2.contract-off.fpfun-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.fast.O2.contract-off.fpfun-fast.float_operations	
case.ios-device.scale_one_bias_zero.fast.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.fast.O3.contract-off.float_operations	
case.ios-device.scale_one_bias_zero.fast.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.fast.Os.contract-off.float_operations	
case.ios-device.scale_one_bias_zero.relaxed.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.relaxed.O0.contract-off.float_operations	fmul+reassoc+nsz+arcp+afn fadd+reassoc+nsz+arcp+afn
case.ios-device.scale_one_bias_zero.relaxed.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.relaxed.O1.contract-off.float_operations	
case.ios-device.scale_one_bias_zero.relaxed.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.relaxed.O2.contract-off.float_operations	
case.ios-device.scale_one_bias_zero.relaxed.O2.contract-off.fpfun-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.relaxed.O2.contract-off.fpfun-fast.float_operations	
case.ios-device.scale_one_bias_zero.relaxed.O3.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.relaxed.O3.contract-off.float_operations	
case.ios-device.scale_one_bias_zero.relaxed.Os.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.relaxed.Os.contract-off.float_operations	
case.ios-device.scale_one_bias_zero.safe.O0.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.safe.O0.contract-off.float_operations	fmul fadd
case.ios-device.scale_one_bias_zero.safe.O1.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.safe.O1.contract-off.float_operations	fadd
case.ios-device.scale_one_bias_zero.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.safe.O2.contract-off.float_operations	fadd
case.ios-device.scale_one_bias_zero.safe.O2.contract-off.fpfun-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.ios-device.scale_one_bias_zero.safe.O2.contract-off.fpfun-fast.float_operations	fadd
