prompt	fed_token	partner_token	prompt_length	position	greedy	attaining_count	top1	top2	top1_bits	top2_bits	top_two_bit_identical	gap	greedy_in_duplicate_group	greedy_group_all_bit_identical	best_duplicate_member	best_duplicate_logit	best_duplicate_rank	best_duplicate_gap
dup-184-x16	184	128477	16	3	53264	1	53264	94254	0x41449321	0x4131ca00	false	1.1741037368774414	false		132379	-5.9778618812561035	138056	18.263782024383545
dup-184-x16	184	128477	16	4	53264	1	53264	94254	0x4144931e	0x4131c9fd	false	1.1741037368774414	false		132379	-5.977870941162109	138056	18.2637882232666
dup-184-x16	184	128477	16	5	53264	1	53264	94254	0x41449327	0x4131ca1a	false	1.1740846633911133	false		132379	-5.97787618637085	138056	18.26380205154419
dup-184-x16	184	128477	16	6	53264	1	53264	94254	0x41449316	0x4131ca1c	false	1.1740665435791016	false		132379	-5.977879524230957	138056	18.263789176940918
dup-184-x16	184	128477	16	7	53264	1	53264	94254	0x41449333	0x4131ca14	false	1.1741018295288086	false		132379	-5.977869987487793	138056	18.26380729675293
dup-184-x16	184	128477	16	8	53264	1	53264	94254	0x4144931f	0x4131ca0d	false	1.1740894317626953	false		132379	-5.977880001068115	138056	18.263798236846924
dup-184-x16	184	128477	16	9	53264	1	53264	94254	0x41449324	0x4131ca0a	false	1.1740970611572266	false		132379	-5.9778733253479	138056	18.26379632949829
dup-184-x16	184	128477	16	10	53264	1	53264	94254	0x4144932d	0x4131ca17	false	1.174093246459961	false		132379	-5.977876663208008	138056	18.263808250427246
dup-184-x16	184	128477	16	11	53264	1	53264	94254	0x4144931f	0x4131ca09	false	1.174093246459961	false		132379	-5.977875709533691	138056	18.2637939453125
dup-184-x16	184	128477	16	12	53264	1	53264	94254	0x41449315	0x4131ca0a	false	1.1740827560424805	false		132379	-5.977881908416748	138056	18.263790607452393
dup-184-x16	184	128477	16	13	53264	1	53264	94254	0x4144931b	0x4131ca0b	false	1.1740875244140625	false		132379	-5.977874755859375	138056	18.263789176940918
dup-184-x16	184	128477	16	14	53264	1	53264	94254	0x41449324	0x4131ca09	false	1.174098014831543	false		132379	-5.977875232696533	138056	18.263798236846924
dup-184-x16	184	128477	16	15	53264	1	53264	94254	0x41449326	0x4131ca17	false	1.174086570739746	false		132379	-5.977880001068115	138056	18.26380491256714
dup-184-x32	184	128477	32	0	53264	1	53264	94254	0x41449320	0x4131ca11	false	1.174086570739746	false		132379	-5.977882385253906	138056	18.26380157470703
dup-184-x32	184	128477	32	1	53264	1	53264	94254	0x41449323	0x4131ca0d	false	1.174093246459961	false		132379	-5.977870941162109	138056	18.263792991638184
dup-184-x32	184	128477	32	2	53264	1	53264	94254	0x41449319	0x4131ca0a	false	1.174086570739746	false		132379	-5.977879047393799	138056	18.26379156112671
dup-184-x32	184	128477	32	3	53264	1	53264	94254	0x41449321	0x4131ca00	false	1.1741037368774414	false		132379	-5.9778618812561035	138056	18.263782024383545
dup-184-x32	184	128477	32	4	53264	1	53264	94254	0x4144931e	0x4131c9fd	false	1.1741037368774414	false		132379	-5.977870941162109	138056	18.2637882232666
dup-184-x32	184	128477	32	5	53264	1	53264	94254	0x41449327	0x4131ca1a	false	1.1740846633911133	false		132379	-5.97787618637085	138056	18.26380205154419
dup-184-x32	184	128477	32	6	53264	1	53264	94254	0x41449316	0x4131ca1c	false	1.1740665435791016	false		132379	-5.977879524230957	138056	18.263789176940918
dup-184-x32	184	128477	32	7	53264	1	53264	94254	0x41449333	0x4131ca14	false	1.1741018295288086	false		132379	-5.977869987487793	138056	18.26380729675293
dup-184-x32	184	128477	32	8	53264	1	53264	94254	0x4144931f	0x4131ca0d	false	1.1740894317626953	false		132379	-5.977880001068115	138056	18.263798236846924
dup-184-x32	184	128477	32	9	53264	1	53264	94254	0x41449324	0x4131ca0a	false	1.1740970611572266	false		132379	-5.9778733253479	138056	18.26379632949829
dup-184-x32	184	128477	32	10	53264	1	53264	94254	0x4144932d	0x4131ca17	false	1.174093246459961	false		132379	-5.977876663208008	138056	18.263808250427246
dup-184-x32	184	128477	32	11	53264	1	53264	94254	0x4144931f	0x4131ca09	false	1.174093246459961	false		132379	-5.977875709533691	138056	18.2637939453125
dup-184-x32	184	128477	32	12	53264	1	53264	94254	0x41449315	0x4131ca0a	false	1.1740827560424805	false		132379	-5.977881908416748	138056	18.263790607452393
dup-184-x32	184	128477	32	13	53264	1	53264	94254	0x4144931b	0x4131ca0b	false	1.1740875244140625	false		132379	-5.977874755859375	138056	18.263789176940918
dup-184-x32	184	128477	32	14	53264	1	53264	94254	0x41449324	0x4131ca09	false	1.174098014831543	false		132379	-5.977875232696533	138056	18.263798236846924
dup-184-x32	184	128477	32	15	53264	1	53264	94254	0x41449326	0x4131ca17	false	1.174086570739746	false		132379	-5.977880001068115	138056	18.26380491256714
dup-184-x32	184	128477	32	16	53264	1	53264	94254	0x41449323	0x4131ca0a	false	1.1740961074829102	false		132379	-5.977875709533691	138056	18.263797760009766
dup-184-x32	184	128477	32	17	53264	1	53264	94254	0x4144932c	0x4131c9fb	false	1.174118995666504	false		132379	-5.977864742279053	138056	18.263795375823975
dup-184-x32	184	128477	32	18	53264	1	53264	94254	0x41449325	0x4131ca04	false	1.1741037368774414	false		132379	-5.977869510650635	138056	18.263793468475342
dup-184-x32	184	128477	32	19	53264	1	53264	94254	0x41449326	0x4131c9fe	false	1.1741104125976562	false		132379	-5.977859973907471	138056	18.263784885406494
dup-184-x32	184	128477	32	20	53264	1	53264	94254	0x4144932c	0x4131ca1b	false	1.174088478088379	false		132379	-5.977869510650635	138056	18.263800144195557
dup-184-x32	184	128477	32	21	53264	1	53264	94254	0x41449327	0x4131ca14	false	1.1740903854370117	false		132379	-5.977869987487793	138056	18.263795852661133
dup-184-x32	184	128477	32	22	53264	1	53264	94254	0x41449325	0x4131ca06	false	1.1741018295288086	false		132379	-5.977883815765381	138056	18.263807773590088
dup-184-x32	184	128477	32	23	53264	1	53264	94254	0x41449322	0x4131ca0e	false	1.1740913391113281	false		132379	-5.977875232696533	138056	18.26379632949829
dup-184-x32	184	128477	32	24	53264	1	53264	94254	0x4144932b	0x4131ca05	false	1.1741085052490234	false		132379	-5.977860450744629	138056	18.263790130615234
dup-184-x32	184	128477	32	25	53264	1	53264	94254	0x4144931f	0x4131ca09	false	1.174093246459961	false		132379	-5.977869987487793	138056	18.2637882232666
dup-184-x32	184	128477	32	26	53264	1	53264	94254	0x4144931f	0x4131ca0f	false	1.1740875244140625	false		132379	-5.977872848510742	138056	18.26379108428955
dup-184-x32	184	128477	32	27	53264	1	53264	94254	0x41449323	0x4131ca09	false	1.1740970611572266	false		132379	-5.977867603302002	138056	18.263789653778076
dup-184-x32	184	128477	32	28	53264	1	53264	94254	0x41449325	0x4131ca14	false	1.174088478088379	false		132379	-5.977877140045166	138056	18.263801097869873
dup-184-x32	184	128477	32	29	53264	1	53264	94254	0x4144931f	0x4131ca0a	false	1.1740922927856445	false		132379	-5.977872371673584	138056	18.263790607452393
dup-184-x32	184	128477	32	30	53264	1	53264	94254	0x41449329	0x4131ca14	false	1.1740922927856445	false		132379	-5.97786808013916	138056	18.263795852661133
dup-184-x32	184	128477	32	31	53264	1	53264	94254	0x41449325	0x4131ca07	false	1.1741008758544922	false		132379	-5.9778733253479	138056	18.263797283172607
dup-129214-x8	129214	129243	8	0	53264	1	53264	94254	0x4144939a	0x4131c904	false	1.174459457397461	false		132379	-5.977675437927246	138055	18.263710975646973
dup-129214-x8	129214	129243	8	1	53264	1	53264	94254	0x41449399	0x4131c903	false	1.174459457397461	false		132379	-5.97767448425293	138055	18.26370906829834
dup-129214-x8	129214	129243	8	2	53264	1	53264	94254	0x41449380	0x4131c90a	false	1.174428939819336	false		132379	-5.97767972946167	138055	18.26369047164917
dup-129214-x8	129214	129243	8	3	53264	1	53264	94254	0x41449398	0x4131c913	false	1.174443244934082	false		132379	-5.9776835441589355	138055	18.26371717453003
dup-129214-x8	129214	129243	8	4	53264	1	53264	94254	0x41449396	0x4131c907	false	1.174452781677246	false		132379	-5.977682590484619	138055	18.26371431350708
dup-129214-x8	129214	129243	8	5	53264	1	53264	94254	0x4144939d	0x4131c914	false	1.1744470596313477	false		132379	-5.977675437927246	138055	18.263713836669922
dup-129214-x8	129214	129243	8	6	53264	1	53264	94254	0x41449393	0x4131c910	false	1.1744413375854492	false		132379	-5.977677822113037	138055	18.26370668411255
dup-129214-x8	129214	129243	8	7	53264	1	53264	94254	0x414493a3	0x4131c912	false	1.174454689025879	false		132379	-5.977684497833252	138055	18.263728618621826
dup-129214-x16	129214	129243	16	0	53264	1	53264	94254	0x4144939a	0x4131c904	false	1.174459457397461	false		132379	-5.977675437927246	138055	18.263710975646973
dup-129214-x16	129214	129243	16	1	53264	1	53264	94254	0x4144937d	0x4131c90a	false	1.1744260787963867	false		132379	-5.977685928344727	138055	18.263693809509277
dup-129214-x16	129214	129243	16	2	53264	1	53264	94254	0x41449380	0x4131c90b	false	1.1744279861450195	false		132379	-5.977682590484619	138055	18.26369333267212
dup-129214-x16	129214	129243	16	3	53264	1	53264	94254	0x4144939b	0x4131c904	false	1.1744604110717773	false		132379	-5.9776692390441895	138055	18.263705730438232
dup-129214-x16	129214	129243	16	4	53264	1	53264	94254	0x4144938f	0x4131c907	false	1.1744461059570312	false		132379	-5.9776811599731445	138055	18.26370620727539
dup-129214-x16	129214	129243	16	5	53264	1	53264	94254	0x41449387	0x4131c90e	false	1.1744318008422852	false		132379	-5.977684020996094	138055	18.26370143890381
dup-129214-x16	129214	129243	16	6	53264	1	53264	94254	0x4144937e	0x4131c90e	false	1.1744232177734375	false		132379	-5.977688312530518	138055	18.263697147369385
dup-129214-x16	129214	129243	16	7	53264	1	53264	94254	0x4144938c	0x4131c91b	false	1.174424171447754	false		132379	-5.977683067321777	138055	18.263705253601074
dup-129214-x16	129214	129243	16	8	53264	1	53264	94254	0x41449399	0x4131c90a	false	1.174452781677246	false		132379	-5.977682113647461	138055	18.26371669769287
dup-129214-x16	129214	129243	16	9	53264	1	53264	94254	0x4144938e	0x4131c906	false	1.1744461059570312	false		132379	-5.9776763916015625	138055	18.263700485229492
dup-129214-x16	129214	129243	16	10	53264	1	53264	94254	0x4144939d	0x4131c900	false	1.1744661331176758	false		132379	-5.977684497833252	138055	18.263722896575928
dup-129214-x16	129214	129243	16	11	53264	1	53264	94254	0x4144938b	0x4131c90a	false	1.1744394302368164	false		132379	-5.977685451507568	138055	18.26370668411255
dup-129214-x16	129214	129243	16	12	53264	1	53264	94254	0x4144938a	0x4131c915	false	1.1744279861450195	false		132379	-5.977679252624512	138055	18.263699531555176
dup-129214-x16	129214	129243	16	13	53264	1	53264	94254	0x4144938d	0x4131c911	false	1.1744346618652344	false		132379	-5.977685451507568	138055	18.26370859146118
dup-129214-x16	129214	129243	16	14	53264	1	53264	94254	0x41449396	0x4131c913	false	1.1744413375854492	false		132379	-5.977683067321777	138055	18.26371479034424
dup-129214-x16	129214	129243	16	15	53264	1	53264	94254	0x414493a2	0x4131c90a	false	1.1744613647460938	false		132379	-5.9776787757873535	138055	18.26372194290161
dup-131430-x16	131430	131436	16	0	53264	1	53264	94254	0x414493ce	0x4131c986	false	1.1743850708007812	false		132379	-5.977733135223389	138055	18.26381826400757
dup-131430-x16	131430	131436	16	1	53264	1	53264	94254	0x414493d3	0x4131c988	false	1.1743879318237305	false		132379	-5.977729797363281	138055	18.263819694519043
dup-131430-x16	131430	131436	16	2	53264	1	53264	94254	0x414493cc	0x4131c98a	false	1.1743793487548828	false		132379	-5.977734088897705	138055	18.263817310333252
dup-131430-x16	131430	131436	16	3	53264	1	53264	94254	0x414493d9	0x4131c984	false	1.1743974685668945	false		132379	-5.97771692276001	138055	18.26381254196167
dup-131430-x16	131430	131436	16	4	53264	1	53264	94254	0x414493d9	0x4131c98c	false	1.1743898391723633	false		132379	-5.977720737457275	138055	18.263816356658936
dup-131430-x16	131430	131436	16	5	53264	1	53264	94254	0x414493db	0x4131c98e	false	1.1743898391723633	false		132379	-5.97772216796875	138055	18.263819694519043
dup-131430-x16	131430	131436	16	6	53264	1	53264	94254	0x414493cb	0x4131c988	false	1.1743803024291992	false		132379	-5.977729797363281	138055	18.26381206512451
dup-131430-x16	131430	131436	16	7	53264	1	53264	94254	0x414493d8	0x4131c987	false	1.174393653869629	false		132379	-5.977728366851807	138055	18.26382303237915
dup-131430-x16	131430	131436	16	8	53264	1	53264	94254	0x414493ce	0x4131c993	false	1.174372673034668	false		132379	-5.9777350425720215	138055	18.2638201713562
dup-131430-x16	131430	131436	16	9	53264	1	53264	94254	0x414493dd	0x4131c982	false	1.174403190612793	false		132379	-5.977718830108643	138055	18.26381826400757
dup-131430-x16	131430	131436	16	10	53264	1	53264	94254	0x414493ce	0x4131c989	false	1.174382209777832	false		132379	-5.9777302742004395	138055	18.26381540298462
dup-131430-x16	131430	131436	16	11	53264	1	53264	94254	0x414493d0	0x4131c99b	false	1.1743669509887695	false		132379	-5.977738857269287	138055	18.2638258934021
dup-131430-x16	131430	131436	16	12	53264	1	53264	94254	0x414493c2	0x4131c992	false	1.1743621826171875	false		132379	-5.977734088897705	138055	18.263807773590088
dup-131430-x16	131430	131436	16	13	53264	1	53264	94254	0x414493d0	0x4131c990	false	1.17437744140625	false		132379	-5.977744102478027	138055	18.26383113861084
dup-131430-x16	131430	131436	16	14	53264	1	53264	94254	0x414493d4	0x4131c981	false	1.1743955612182617	false		132379	-5.977712631225586	138055	18.263803482055664
dup-131430-x16	131430	131436	16	15	53264	1	53264	94254	0x414493d0	0x4131c993	false	1.1743745803833008	false		132379	-5.9777350425720215	138055	18.263822078704834
dup-132379-x16	132379	132383	16	0	53264	1	53264	94254	0x41449469	0x4131c7a0	false	1.1749963760375977	false		132379	-5.9773993492126465	138054	18.26363229751587
dup-132379-x16	132379	132383	16	1	53264	1	53264	94254	0x4144946b	0x4131c7a0	false	1.1749982833862305	false		132379	-5.977408409118652	138054	18.263643264770508
dup-132379-x16	132379	132383	16	2	53264	1	53264	94254	0x4144946d	0x4131c791	false	1.1750144958496094	false		132379	-5.977397918701172	138054	18.26363468170166
dup-132379-x16	132379	132383	16	3	53264	1	53264	94254	0x41449472	0x4131c780	false	1.1750354766845703	false		132379	-5.9773850440979	138054	18.26362657546997
dup-132379-x16	132379	132383	16	4	53264	1	53264	94254	0x4144945b	0x4131c794	false	1.1749944686889648	false		132379	-5.977413654327393	138054	18.263633251190186
dup-132379-x16	132379	132383	16	5	53264	1	53264	94254	0x41449463	0x4131c791	false	1.1750049591064453	false		132379	-5.977407455444336	138054	18.26363468170166
dup-132379-x16	132379	132383	16	6	53264	1	53264	94254	0x4144946f	0x4131c792	false	1.1750154495239258	false		132379	-5.97739315032959	138054	18.26363182067871
dup-132379-x16	132379	132383	16	7	53264	1	53264	94254	0x41449471	0x4131c78b	false	1.1750240325927734	false		132379	-5.977378845214844	138054	18.263619422912598
dup-132379-x16	132379	132383	16	8	53264	1	53264	94254	0x41449476	0x4131c799	false	1.1750154495239258	false		132379	-5.977392196655273	138054	18.26363754272461
dup-132379-x16	132379	132383	16	9	53264	1	53264	94254	0x41449473	0x4131c79a	false	1.1750116348266602	false		132379	-5.977381706237793	138054	18.26362419128418
dup-132379-x16	132379	132383	16	10	53264	1	53264	94254	0x41449469	0x4131c79a	false	1.175002098083496	false		132379	-5.97741174697876	138054	18.263644695281982
dup-132379-x16	132379	132383	16	11	53264	1	53264	94254	0x4144947a	0x4131c792	false	1.1750259399414062	false		132379	-5.977380752563477	138054	18.263629913330078
dup-132379-x16	132379	132383	16	12	53264	1	53264	94254	0x4144946f	0x4131c7a0	false	1.175002098083496	false		132379	-5.97740364074707	138054	18.26364231109619
dup-132379-x16	132379	132383	16	13	53264	1	53264	94254	0x41449469	0x4131c795	false	1.1750068664550781	false		132379	-5.977392196655273	138054	18.263625144958496
dup-132379-x16	132379	132383	16	14	53264	1	53264	94254	0x41449478	0x4131c78a	false	1.1750316619873047	false		132379	-5.977385997772217	138054	18.263633251190186
dup-132379-x16	132379	132383	16	15	53264	1	53264	94254	0x41449479	0x4131c792	false	1.1750249862670898	false		132379	-5.9773850440979	138054	18.263633251190186
dup-147711-x16	147711	147712	16	0	53264	1	53264	94254	0x4144936a	0x4131caa2	false	1.1740188598632812	false		132379	-5.977909088134766	138057	18.263898849487305
dup-147711-x16	147711	147712	16	1	53264	1	53264	94254	0x41449373	0x4131ca95	false	1.1740398406982422	false		132379	-5.977889537811279	138057	18.263887882232666
dup-147711-x16	147711	147712	16	2	53264	1	53264	94254	0x41449379	0x4131ca9f	false	1.1740360260009766	false		132379	-5.977900981903076	138057	18.26390504837036
dup-147711-x16	147711	147712	16	3	53264	1	53264	94254	0x41449372	0x4131ca96	false	1.1740379333496094	false		132379	-5.977899074554443	138057	18.263896465301514
dup-147711-x16	147711	147712	16	4	53264	1	53264	94254	0x4144936e	0x4131ca9b	false	1.1740293502807617	false		132379	-5.977886199951172	138057	18.263879776000977
dup-147711-x16	147711	147712	16	5	53264	1	53264	94254	0x4144936f	0x4131ca9c	false	1.1740293502807617	false		132379	-5.9778876304626465	138057	18.263882160186768
dup-147711-x16	147711	147712	16	6	53264	1	53264	94254	0x41449371	0x4131ca9f	false	1.1740283966064453	false		132379	-5.977897644042969	138057	18.263894081115723
dup-147711-x16	147711	147712	16	7	53264	1	53264	94254	0x41449365	0x4131ca96	false	1.174025535583496	false		132379	-5.977890491485596	138057	18.263875484466553
dup-147711-x16	147711	147712	16	8	53264	1	53264	94254	0x4144937f	0x4131caa3	false	1.1740379333496094	false		132379	-5.977900505065918	138057	18.2639102935791
dup-147711-x16	147711	147712	16	9	53264	1	53264	94254	0x41449370	0x4131caa2	false	1.1740245819091797	false		132379	-5.977899074554443	138057	18.26389455795288
dup-147711-x16	147711	147712	16	10	53264	1	53264	94254	0x41449374	0x4131caa6	false	1.1740245819091797	false		132379	-5.977894306182861	138057	18.263893604278564
dup-147711-x16	147711	147712	16	11	53264	1	53264	94254	0x41449375	0x4131caad	false	1.1740188598632812	false		132379	-5.977896690368652	138057	18.263896942138672
dup-147711-x16	147711	147712	16	12	53264	1	53264	94254	0x4144937a	0x4131caa1	false	1.1740350723266602	false		132379	-5.977895736694336	138057	18.263900756835938
dup-147711-x16	147711	147712	16	13	53264	1	53264	94254	0x4144936a	0x4131cab5	false	1.1740007400512695	false		132379	-5.977896213531494	138057	18.263885974884033
dup-147711-x16	147711	147712	16	14	53264	1	53264	94254	0x41449366	0x4131ca9d	false	1.1740198135375977	false		132379	-5.977900981903076	138057	18.26388692855835
dup-147711-x16	147711	147712	16	15	53264	1	53264	94254	0x4144936d	0x4131ca9e	false	1.174025535583496	false		132379	-5.977902412414551	138057	18.26389503479004
dup-123806-x16	123806	124027	16	0	53264	1	53264	94254	0x41449304	0x4131ca1c	false	1.1740493774414062	false		132379	-5.97789192199707	138057	18.263784408569336
dup-123806-x16	123806	124027	16	1	53264	1	53264	94254	0x414492f7	0x4131ca19	false	1.1740398406982422	false		132379	-5.977899551391602	138057	18.263779640197754
dup-123806-x16	123806	124027	16	2	53264	1	53264	94254	0x41449306	0x4131ca2e	false	1.1740341186523438	false		132379	-5.977888107299805	138057	18.263782501220703
dup-123806-x16	123806	124027	16	3	53264	1	53264	94254	0x41449309	0x4131ca1f	false	1.174051284790039	false		132379	-5.9778876304626465	138057	18.263784885406494
dup-123806-x16	123806	124027	16	4	53264	1	53264	94254	0x41449304	0x4131ca26	false	1.1740398406982422	false		132379	-5.977892875671387	138057	18.263785362243652
dup-123806-x16	123806	124027	16	5	53264	1	53264	94254	0x414492fd	0x4131ca24	false	1.1740350723266602	false		132379	-5.977891445159912	138057	18.263777256011963
dup-123806-x16	123806	124027	16	6	53264	1	53264	94254	0x4144930d	0x4131ca21	false	1.1740531921386719	false		132379	-5.977898597717285	138057	18.2637996673584
dup-123806-x16	123806	124027	16	7	53264	1	53264	94254	0x41449302	0x4131ca26	false	1.1740379333496094	false		132379	-5.977882385253906	138056	18.26377296447754
dup-123806-x16	123806	124027	16	8	53264	1	53264	94254	0x41449307	0x4131ca1b	false	1.1740531921386719	false		132379	-5.977884769439697	138057	18.263780117034912
dup-123806-x16	123806	124027	16	9	53264	1	53264	94254	0x414492fe	0x4131ca2b	false	1.1740293502807617	false		132379	-5.977890491485596	138057	18.263777256011963
dup-123806-x16	123806	124027	16	10	53264	1	53264	94254	0x414492fb	0x4131ca28	false	1.1740293502807617	false		132379	-5.977899074554443	138057	18.26378297805786
dup-123806-x16	123806	124027	16	11	53264	1	53264	94254	0x414492f3	0x4131ca27	false	1.1740226745605469	false		132379	-5.977899074554443	138057	18.26377534866333
dup-123806-x16	123806	124027	16	12	53264	1	53264	94254	0x41449308	0x4131ca26	false	1.1740436553955078	false		132379	-5.977883338928223	138056	18.263779640197754
dup-123806-x16	123806	124027	16	13	53264	1	53264	94254	0x41449302	0x4131ca20	false	1.1740436553955078	false		132379	-5.977888107299805	138057	18.263778686523438
dup-123806-x16	123806	124027	16	14	53264	1	53264	94254	0x414492f9	0x4131ca24	false	1.1740312576293945	false		132379	-5.977890968322754	138057	18.26377296447754
dup-123806-x16	123806	124027	16	15	53264	1	53264	94254	0x41449300	0x4131ca29	false	1.1740331649780273	false		132379	-5.977888107299805	138056	18.263776779174805
dup-123806-x32	123806	124027	32	0	53264	1	53264	94254	0x41449304	0x4131ca1c	false	1.1740493774414062	false		132379	-5.97789192199707	138057	18.263784408569336
dup-123806-x32	123806	124027	32	1	53264	1	53264	94254	0x414492f7	0x4131ca19	false	1.1740398406982422	false		132379	-5.977899551391602	138057	18.263779640197754
dup-123806-x32	123806	124027	32	2	53264	1	53264	94254	0x41449306	0x4131ca2e	false	1.1740341186523438	false		132379	-5.977888107299805	138057	18.263782501220703
dup-123806-x32	123806	124027	32	3	53264	1	53264	94254	0x41449309	0x4131ca1f	false	1.174051284790039	false		132379	-5.9778876304626465	138057	18.263784885406494
dup-123806-x32	123806	124027	32	4	53264	1	53264	94254	0x41449304	0x4131ca26	false	1.1740398406982422	false		132379	-5.977892875671387	138057	18.263785362243652
dup-123806-x32	123806	124027	32	5	53264	1	53264	94254	0x414492fd	0x4131ca24	false	1.1740350723266602	false		132379	-5.977891445159912	138057	18.263777256011963
dup-123806-x32	123806	124027	32	6	53264	1	53264	94254	0x4144930d	0x4131ca21	false	1.1740531921386719	false		132379	-5.977898597717285	138057	18.2637996673584
dup-123806-x32	123806	124027	32	7	53264	1	53264	94254	0x41449302	0x4131ca26	false	1.1740379333496094	false		132379	-5.977882385253906	138056	18.26377296447754
dup-123806-x32	123806	124027	32	8	53264	1	53264	94254	0x41449307	0x4131ca1b	false	1.1740531921386719	false		132379	-5.977884769439697	138057	18.263780117034912
dup-123806-x32	123806	124027	32	9	53264	1	53264	94254	0x414492fe	0x4131ca2b	false	1.1740293502807617	false		132379	-5.977890491485596	138057	18.263777256011963
dup-123806-x32	123806	124027	32	10	53264	1	53264	94254	0x414492fb	0x4131ca28	false	1.1740293502807617	false		132379	-5.977899074554443	138057	18.26378297805786
dup-123806-x32	123806	124027	32	11	53264	1	53264	94254	0x414492f3	0x4131ca27	false	1.1740226745605469	false		132379	-5.977899074554443	138057	18.26377534866333
dup-123806-x32	123806	124027	32	12	53264	1	53264	94254	0x41449308	0x4131ca26	false	1.1740436553955078	false		132379	-5.977883338928223	138056	18.263779640197754
dup-123806-x32	123806	124027	32	13	53264	1	53264	94254	0x41449302	0x4131ca20	false	1.1740436553955078	false		132379	-5.977888107299805	138057	18.263778686523438
dup-123806-x32	123806	124027	32	14	53264	1	53264	94254	0x414492f9	0x4131ca24	false	1.1740312576293945	false		132379	-5.977890968322754	138057	18.26377296447754
dup-123806-x32	123806	124027	32	15	53264	1	53264	94254	0x41449300	0x4131ca29	false	1.1740331649780273	false		132379	-5.977888107299805	138056	18.263776779174805
dup-123806-x32	123806	124027	32	16	53264	1	53264	94254	0x414492fd	0x4131ca25	false	1.1740341186523438	false		132379	-5.977880954742432	138057	18.263766765594482
dup-123806-x32	123806	124027	32	17	53264	1	53264	94254	0x414492f9	0x4131ca21	false	1.1740341186523438	false		132379	-5.977889060974121	138057	18.263771057128906
dup-123806-x32	123806	124027	32	18	53264	1	53264	94254	0x41449300	0x4131ca28	false	1.1740341186523438	false		132379	-5.977896690368652	138057	18.263785362243652
